City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
433,Dakar,SN,86.88,thunderstorm with light rain,14.6937,-17.4441,Novotel Dakar
439,Lasa,IT,88.7,light rain,46.6166,10.7002,Pension Feldgärtenhof
441,Surt,LY,84.09,few clouds,31.2089,16.5887,الهادي ابوشعاله سرت
446,Snina,SK,89.35,clear sky,48.9886,22.151,Hotel Kamei
448,Houma,US,84.99,broken clouds,29.5958,-90.7195,Courtyard by Marriott Houma
450,Salgueiro,BR,87.37,scattered clouds,-8.0742,-39.1192,Hotel Requinte
452,Arieseni,RO,75.97,clear sky,46.4833,22.7667,Cabana Montana
456,Hakkari,TR,77.67,scattered clouds,37.5833,44.1667,Koprucek Koyu Muhtarligi
461,Komsomolskiy,UZ,84.52,broken clouds,40.4272,71.7189,Ikathouse
462,Limpapa,PH,76.33,overcast clouds,7.1197,121.9106,The Ranch ZC
463,Savelugu,GH,82.87,overcast clouds,9.6244,-0.8253,Yoo Naa's Palace
464,Puerto Escondido,MX,84.33,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
468,Cayenne,GF,87.84,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
470,Hirara,JP,84.56,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
472,Nanakuli,US,75.15,clear sky,21.3906,-158.1547,Camp Pālehua
476,Pitimbu,BR,81.19,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
477,La Rioja,ES,78.58,scattered clouds,42.25,-2.5,Casa Concejos
478,Beeskow,DE,85.33,scattered clouds,52.1667,14.25,AWO Jugend- und Erlebnishof Beeskow
480,Fare,PF,77.99,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
481,Coracao De Maria,BR,84.27,clear sky,-12.2333,-38.75,Pousada de Dona Bó
486,Yabassi,CM,78.3,moderate rain,4.457,9.9682,MOTEL FOMI
490,Marsa Matruh,EG,86.2,clear sky,31.3525,27.2453,Beau Site
494,Misratah,LY,85.1,clear sky,32.3754,15.0925,Almasa Hotel
495,Shitanjing,CN,83.91,clear sky,39.2342,106.3439,Yingbin Hotel
500,Southampton,GB,75.04,clear sky,50.904,-1.4043,Leonardo Royal Southampton Grand Harbour
501,Batticaloa,LK,82.63,overcast clouds,7.7102,81.6924,Grand Star Guest House
507,Bontang,ID,76.53,few clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
511,Jiayuguan,CN,81.82,overcast clouds,39.8167,98.3,Jiugang Hotel - Jiayuguan
516,Nova Odesa,UA,81.52,overcast clouds,47.3078,31.7851,У Саши
519,Harper,LR,77.18,overcast clouds,4.375,-7.7169,Screensaver
523,Brigantine,US,88.2,clear sky,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
524,Basco,PH,84.52,broken clouds,20.4487,121.9702,Nathaniel's Lodge
529,Parauna,BR,89.31,few clouds,-16.9478,-50.4486,Hotel Serras de Paraúna
536,Teguise,ES,80.82,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
538,Vila Velha,BR,87.75,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
543,Eyl,SO,77.2,clear sky,7.9803,49.8164,Amiin Hotel
544,Nador,MA,89.67,few clouds,35.174,-2.9287,Hôtel La Giralda
545,Zhangye,CN,86.2,broken clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
549,Outram,MY,80.53,light rain,1.2829,103.8379,Grand Copthorne Waterfront
550,Shache,CN,77.86,broken clouds,38.4167,77.2406,Delong Hotel
551,Tabou,CI,77.0,overcast clouds,4.423,-7.3528,hotêl doufoulougou
552,Mahibadhoo,MV,81.9,overcast clouds,3.7833,72.9667,Omadhoo Inn
553,Sri Aman,MY,75.25,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
558,Allahganj,IN,89.82,overcast clouds,27.55,79.6833,Rajesh TVS Motors
561,Bubaque,GW,75.9,heavy intensity rain,11.2833,-15.8333,"Casa Dora, Bubaque"
562,Fuerte Olimpo,PY,77.18,broken clouds,-21.0415,-57.8738,Hospedaje DAMI
564,Belmonte,BR,77.31,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
572,Nizhniy Baskunchak,RU,88.39,overcast clouds,48.2198,46.8311,Arman hotel
573,Camacari,BR,80.37,clear sky,-12.6975,-38.3242,Sítio Blasi
578,Ambanja,MG,75.13,clear sky,-13.6833,48.45,Hotel Salama and Fast Food
581,Kahului,US,76.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
582,Koulamoutou,GA,77.38,overcast clouds,-1.1303,12.4736,Motel Bouenguidi
585,Anito,PH,76.01,overcast clouds,12.4497,125.2886,El Felix Cottages
586,Los Llanos De Aridane,ES,77.13,broken clouds,28.6585,-17.9182,Valle Aridane
587,Bobo Dioulasso,BF,84.65,scattered clouds,11.1771,-4.2979,IBA Hotel
592,Palmer,US,89.51,broken clouds,42.1584,-72.3287,Wedgewood Motel
593,Sand Springs,US,88.18,clear sky,36.1398,-96.1089,Magnuson Hotel Sand Springs-Tulsa West
596,Ilinskiy,RU,86.38,clear sky,55.619,38.1182,Around the world
598,Kudahuvadhoo,MV,81.54,light rain,2.6708,72.8944,Niyama Private Islands Maldives
599,Guerrero Negro,MX,75.04,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
600,Lagoa,PT,75.25,few clouds,39.05,-27.9833,Casa Das Faias
601,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
602,Monte Carmelo,BR,85.68,clear sky,-18.7247,-47.4986,Park hotel
603,Varzea Grande,BR,89.47,clear sky,-15.6467,-56.1325,Hotel Express
606,Upata,VE,80.19,few clouds,8.0086,-62.3989,Posada Villa Nela
608,Saint Charles,US,88.88,broken clouds,38.7667,-90.7335,Hilton Garden Inn St. Louis/O'Fallon MO
615,Sulangan,PH,82.0,light rain,11.1373,123.7228,Maia's Beach Resort
622,Rabo De Peixe,PT,76.51,few clouds,37.8,-25.5833,Quinta das Giestas
624,Havelock,US,89.58,broken clouds,34.8791,-76.9013,Sherwood Motel
625,Yatou,CN,80.33,scattered clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
